PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_SCORE, ,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%)
144207253,6537495,53,active antagonist,active antagonist,12.1284,-85.0834
144209695,6537498,0,inactive,inactive,,0
144209519,6537503,0,inactive,inactive,,0
144207218,6537505,0,inactive,inactive,,0
144207510,6537506,0,inactive,inactive,,0
144206364,6540478,76,active antagonist,active antagonist,0.648625,-127.064
144212846,6553885,0,inactive,inactive,,0
144208403,6602188,0,inactive,inactive,,0
144203586,6603108,0,inactive,inactive,,0
144203795,6603149,0,inactive,inactive,,0
144207062,6603759,0,inactive,inactive,,0
144204334,6604087,0,inactive,inactive,,0
144207068,6604122,0,inactive,inactive,,0
144204285,6604155,0,inactive,inactive,,0
144204288,6604472,0,inactive,inactive,,0
144204301,6604492,0,inactive,inactive,,0
144204309,6604497,0,inactive,inactive,,0
144204336,6604557,0,inactive,inactive,,0
144204340,6604561,0,inactive,inactive,,0
144205038,6708773,0,inactive,inactive,,0
144204238,6714002,20,active agonist,active agonist,0.0842705,85.299
144206534,6850814,0,inactive,inactive,,0
144205584,6852391,0,inactive,inactive,,0
144206107,6852393,0,inactive,inactive,,0
144212543,6852406,0,inactive,inactive,,0
144206936,6917067,0,inactive,inactive,,0
144206191,6917715,74,active antagonist,active antagonist,0.337801,-103.756
144204780,6917728,0,inactive,inactive,,0
144206213,6917754,0,inactive,inactive,,0
144206586,6917787,0,inactive,inactive,,0
144206130,6917941,0,inactive,inactive,,0
144212657,6917959,0,inactive,inactive,,0
144207156,6918003,0,inactive,inactive,,0
144204514,6918029,0,inactive,inactive,,0
144206831,6918106,0,inactive,inactive,,0
144206464,6918126,0,inactive,inactive,,0
144204271,6918132,0,inactive,inactive,,0
144206039,6918155,20,active agonist,active agonist,0.0258222,66.0854
144206008,6918178,20,active agonist,active agonist,0.00115344,101.853
144204776,6918215,0,inactive,inactive,,0
144206474,6918222,0,inactive,inactive,,0
144206124,6918235,0,inactive,inactive,,0
144206068,6918289,0,inactive,inactive,,0
144205974,6918303,0,inactive,inactive,,0
144205817,6918305,0,inactive,inactive,,0
144205520,6918493,0,inactive,inactive,,0
144206580,6918580,0,inactive,inactive,,0
144210076,6931391,0,inactive,inactive,,0
144205909,6950248,0,inactive,inactive,,0
144205045,6975516,0,inactive,inactive,,0
144206792,6992284,0,inactive,inactive,,0
144210027,6993773,0,inactive,inactive,,0
144211665,6997371,0,inactive,inactive,,0
144205720,6999030,0,inactive,inactive,,0
144211634,6999977,0,inactive,inactive,,0
144213314,7057995,0,inactive,inactive,,0
144205956,9549168,0,inactive,inactive,,0
144205020,9556529,0,inactive,inactive,,0
144206829,9568078,0,inactive,inactive,,0
144205179,9568512,0,inactive,inactive,,0
144206104,9568618,0,inactive,inactive,,0
144206200,9568628,79,active antagonist,active antagonist,0.28973,-119.043
144213759,9568700,0,inactive,inactive,,0
144207662,9568808,0,inactive,inactive,,0
144204027,9570076,0,inactive,inactive,,0
144208536,9570093,0,inactive,inactive,,0
144211897,9570290,0,inactive,inactive,,0
144205448,9570327,0,inactive,inactive,,0
144206861,9570475,0,inactive,inactive,,0
144212589,9571009,0,inactive,inactive,,0
144204352,9571075,0,inactive,inactive,,0
144207182,9574101,0,inactive,inactive,,0
144205516,9574235,0,inactive,inactive,,0
144211196,9576037,0,inactive,inactive,,0
144204961,9578507,0,inactive,inactive,,0
144205026,9588170,0,inactive,inactive,,0
144204892,9794197,0,inactive,inactive,,0
144210561,9797360,0,inactive,inactive,,0
144210527,9799979,46,active antagonist,active antagonist,19.4938,-32.2664
144206761,9800972,0,inactive,inactive,,0
144207158,9802545,0,inactive,inactive,,0
144206811,9811353,0,inactive,inactive,,0
144204912,9818306,61,active antagonist,active antagonist,5.78088,-120.762
144210784,9819350,0,inactive,inactive,,0
144210558,9824131,0,inactive,inactive,,0
144206915,9826528,0,inactive,inactive,,0
144210783,9828356,0,inactive,inactive,,0
144210528,9831581,0,inactive,inactive,,0
144207030,9833444,0,inactive,inactive,,0
144210758,9839190,0,inactive,inactive,,0
144210552,9842616,0,inactive,inactive,,0
144210773,9843744,0,inactive,inactive,,0
144206407,9844225,0,inactive,inactive,,0
144206488,9845819,0,inactive,inactive,,0
144205924,9849425,20,active agonist,active agonist,3.57817,291.418
